"","Random_Lake_Effect","DOWID","mean_LAT","mean_LONG","Latitidue","Longitude","Latitude"
"1",0.816515007573,"01000100",NA,NA,NA,NA,NA
"2",0.466025270636012,"01002300",466877,932009,46.6877,-93.2009,46.6877
"3",-0.137045249241286,"01003300",466886,932850,46.6886,-93.285,46.6886
"4",1.15821004021421,"01003600",468464,932414,46.8464,-93.2414,46.8464
"5",0.514339197321191,"01003800",468233,932116,46.8233,-93.2116,46.8233
"6",-0.0042045582091473,"01004000",467962.052631579,933022.842105263,46.7962052631579,-93.3022842105263,46.7962052631579
"7",0.38369429651327,"01004200",467885,932222,46.7885,-93.2222,46.7885
"8",0.298307734722992,"01004600",469333,932832,46.9333,-93.2832,46.9333
"9",0.474717558721432,"01006200",467755.111111111,933204.62962963,46.7755111111111,-93.320462962963,46.7755111111111
"10",0.498482072863342,"01007000",466156,931165,46.6156,-93.1165,46.6156
"11",-0.200405789848534,"01007700",467032,933696,46.7032,-93.3696,46.7032
"12",-0.165568955406544,"01008700",464259,934620,46.4259,-93.462,46.4259
"13",1.04117829356581,"01008900",464870,934897,46.487,-93.4897,46.487
"14",0.547223431690446,"01009100",464577.5,935323,46.45775,-93.5323,46.45775
"15",-0.285837627995806,"01009300",464259,935042,46.4259,-93.5042,46.4259
"16",-0.144724932286054,"01009600",465124,934424,46.5124,-93.4424,46.5124
"17",0.0559944314585449,"01009900",466383.272727273,935319.363636364,46.6383272727273,-93.5319363636364,46.6383272727273
"18",0.0460825781330711,"01010400",466165,935593,46.6165,-93.5593,46.6165
"19",-0.892867854573564,"01010500",466165,935381,46.6165,-93.5381,46.6165
"20",0.179275609930384,"01012300",464390,936110,46.439,-93.611,46.439
"21",-0.0186215327375726,"01012500",464395,936750,46.4395,-93.675,46.4395
"22",-0.0648488835144508,"01013600",467328,936305.6,46.7328,-93.63056,46.7328
"23",-0.021332751987009,"01013700",467184,936429,46.7184,-93.6429,46.7184
"24",-0.158195469623702,"01014200",469793,935816,46.9793,-93.5816,46.9793
"25",0.452130714008355,"01014600",464538,936962,46.4538,-93.6962,46.4538
"26",-0.656660660036198,"01014700",467325,937083,46.7325,-93.7083,46.7325
"27",-0.247205240187882,"01015900",464250,937593,46.425,-93.7593,46.425
"28",-0.465183889626348,"01016100",464826,937385,46.4826,-93.7385,46.4826
"29",0.228472471957851,"01017000",464680,937173,46.468,-93.7173,46.468
"30",-0.289503382034062,"01017800",464395,937175,46.4395,-93.7175,46.4395
"31",-0.102176822488768,"01017900",464395,937383,46.4395,-93.7383,46.4395
"32",-0.0349079079375914,"01018200",465115,937386,46.5115,-93.7386,46.5115
"33",-0.369577469590294,"01018800",466462,937506,46.6462,-93.7506,46.6462
